X,Y,OBJECTID,APPLICATION_NUMBER,STREET_NUMBER,STREET_NAME,POSTAL_CODE,APP_SUBMITTED_DATE,APP_STATUS,DECISION_DATE,APPEALED,THIRD_PARTY_APPEAL,APPEAL_TYPE,APPEAL_DATE,APPEAL_DECISION_DATE,SE_ANNO_CAD_DATA
594076.094437577,4789402.13174171,1,HM/A-21:430,845,KING ST E HAMILTON,L8M 1B3,2021/11/30 05:00:00+00,Variance Granted,2023/08/10 04:00:00+00,No,,,,,
603755.1227241,4785860.62585731,2,SC/A-22:216,417,HWY 8   STONEY CREEK,L8G 1G1,2022/06/20 04:00:00+00,Variance Granted,2023/08/10 04:00:00+00,No,,,,,
593488.53331546,4789241.38361697,3,HM/A-22:391,547,MAIN ST E HAMILTON,L8M 1H9,2022/12/02 05:00:00+00,Variance Granted,2023/07/27 04:00:00+00,No,,,,,
582100.126448517,4801676.18050917,4,FL/A-22:411,1268,HWY 6   FLAMBOROUGH,L8N 2Z7,2022/12/13 05:00:00+00,Variance Granted,2023/08/10 04:00:00+00,No,,,,,
609870.99527619,4785658.94512162,5,SC/A-23:28,394,WINONA RD  STONEY CREEK,L8E 5E4,2023/02/13 05:00:00+00,Variance Granted,2023/07/27 04:00:00+00,No,,,,,
590548.619999088,4790938.34051435,6,HM/A-23:55,18,TOM ST  HAMILTON,L8R 1X3,2023/03/03 05:00:00+00,Variance Granted,2023/07/04 04:00:00+00,No,,,,,
591239.768615543,4788978.79083673,7,HM/A-23:64,18,CHILTON PL  HAMILTON,L8P 3G7,2023/03/15 04:00:00+00,Variance Granted,2023/08/10 04:00:00+00,No,,,,,
595641.943028423,4781036.26044551,8,GL/A-23:65,280,TRINITY CHURCH RD  GLANBROOK,L0R 1P0,2023/03/16 04:00:00+00,Variance Granted,2023/07/27 04:00:00+00,No,,,,,
593671.226333417,4781108.68063592,9,GL/A-23:72,14,AMBITIOUS CRT  GLANBROOK,L0R 1P0,2023/03/23 04:00:00+00,Variance Granted,2023/07/27 04:00:00+00,No,,,,,
601973.238616477,4780582.05527038,10,SC/A-23:100,63,THIRD RD E STONEY CREEK,L8J 3J5,2023/04/20 04:00:00+00,Variance Granted,2023/08/18 04:00:00+00,No,,,,,
589485.680537547,4798995.88685493,11,HM/A-23:104,19,ALBERT ST  HAMILTON,L8M 2Y1,2023/04/26 04:00:00+00,Variance Granted,2023/08/24 04:00:00+00,No,,,,,
581190.603451099,4792095.26201042,12,FL/A-23:118,745,CROOKS HOLLOW RD  FLAMBOROUGH,L9H 5E2,2023/05/03 04:00:00+00,Variance Granted,2023/08/10 04:00:00+00,No,,,,,
592750.015349005,4791544.37654475,13,HM/A-23:134,548,MARY ST  HAMILTON,L8L 4X7,2023/05/16 04:00:00+00,Variance Granted,2023/09/07 04:00:00+00,No,,,,,
594348.567245497,4779753.20002053,14,GL/A-23:144,5288,DICKENSON RD  GLANBROOK,L0R 1P0,2023/05/23 04:00:00+00,Variance Granted,2023/09/21 04:00:00+00,No,,,,,
597377.773576194,4775217.06263162,15,GL/A-23:150,2575,REGIONAL ROAD 56   GLANBROOK,L0R 1C0,2023/05/26 04:00:00+00,Variance Granted,2023/08/10 04:00:00+00,No,,,,,
611609.288648184,4786945.26352116,16,SC/A-23:153,57,WINDEMERE RD  STONEY CREEK,L8E 5G5,2023/06/01 04:00:00+00,Variance Granted,2023/07/13 04:00:00+00,No,,,,,
594199.466110237,4788035.15463906,17,HM/A-23:154,10,BEN LOMOND PL  HAMILTON,L8V 2S8,2023/06/07 04:00:00+00,Variance Granted,2023/07/13 04:00:00+00,No,,,,,
582531.817028675,4785644.17585793,18,AN/A-23:155,46,CAMERON DR  ANCASTER,L9G 2L3,2023/06/08 04:00:00+00,Variance Granted,2023/07/13 04:00:00+00,No,,,,,
592093.100712589,4788135.42715742,19,HM/A-23:156,501,UPPER WELLINGTON ST  HAMILTON,L9A 3P6,2023/06/08 04:00:00+00,Variance Granted,2023/07/13 04:00:00+00,No,,,,,
584814.82042814,4778057.17247333,20,AN/A-23:159,189,CARLUKE RD E ANCASTER,L0R 1W0,2023/06/13 04:00:00+00,Variance Granted,2023/07/13 04:00:00+00,No,,,,,
585844.585513929,4778027.64480397,21,GL/A-23:160,9727,WHITE CHURCH RD  GLANBROOK,L0R 1C0,2023/06/13 04:00:00+00,Variance Granted,2023/07/13 04:00:00+00,No,,,,,
593035.440563012,4788340.43463783,22,HM/A-23:161,142,ALPINE AVE  HAMILTON,L9A 1A6,2023/06/13 04:00:00+00,Variance Granted,2023/07/13 04:00:00+00,No,,,,,
591791.105950089,4790006.16946245,23,FL/A-23:164,1,JAMES ST  FLAMBOROUGH,L0R 2H3,2023/06/14 04:00:00+00,Variance Granted,2023/07/27 04:00:00+00,No,,,,,
597429.327218314,4787911.58470485,24,HM/A-23:162,1620,MAIN ST E HAMILTON,L8K 1E7,2023/06/14 04:00:00+00,Variance Granted,2023/07/13 04:00:00+00,No,,,,,
561221.597411892,4797054.82898233,25,FL/A-23:166,99,7TH CON RD E FLAMBOROUGH,L8B 1T3,2023/06/19 04:00:00+00,Variance Granted,2023/09/21 04:00:00+00,No,,,,,
587457.859540288,4784053.42073695,26,HM/A-23:165,198,HAWKSWOOD TRAIL  HAMILTON,L9B 2T1,2023/06/19 04:00:00+00,Variance Granted,2023/07/27 04:00:00+00,No,,,,,
590894.022384064,4790460.8512358,27,HM/A-23:167,49,RAY ST N HAMILTON,L8R 2X5,2023/06/20 04:00:00+00,Variance Granted,2023/07/27 04:00:00+00,No,,,,,
600029.31884032,4777144.42037756,28,GL/A-23:168,1404,HENDERSHOT RD  GLANBROOK,L0R 1P0,2023/06/21 04:00:00+00,Variance Granted,2023/07/27 04:00:00+00,No,,,,,
581601.1512017,4785825.85232888,29,AN/A-23:169,165,BLAIR LANE  ANCASTER,L9G 1B8,2023/06/26 04:00:00+00,Variance Granted,2023/07/27 04:00:00+00,No,,,,,
583865.151562845,4787619.32458641,30,AN/A-23:170,376,PHILIP PL  ANCASTER,L9G 3G8,2023/06/26 04:00:00+00,Variance Granted,2023/07/27 04:00:00+00,No,,,,,
582444.002782728,4784550.93694184,31,AN/A-23:172,312,FIDDLERS GREEN RD  ANCASTER,L9G 1X1,2023/06/27 04:00:00+00,Variance Granted,2023/09/07 04:00:00+00,No,,,,,
590888.659610681,4790707.84278169,32,HM/A-23:171,26,FLORENCE ST  HAMILTON,L8R 1W4,2023/06/27 04:00:00+00,Variance Granted,2023/07/27 04:00:00+00,No,,,,,
576276.161217995,4793526.5343981,33,FL/A-23:173,1259,SODOM RD  FLAMBOROUGH,L9H 5E2,2023/06/27 04:00:00+00,Variance Granted,2023/07/27 04:00:00+00,No,,,,,
594771.251207981,4788737.43720927,34,HM/A-23:174,922,MAIN ST E HAMILTON,L8M 1M5,2023/06/27 04:00:00+00,Variance Granted,2023/07/27 04:00:00+00,No,,,,,
595266.418646779,4775333.8485498,35,GL/A-23:175,3105,FLETCHER RD  GLANBROOK,L0R 1C0,2023/06/28 04:00:00+00,Variance Granted,2023/08/10 04:00:00+00,No,,,,,
597616.219595512,4782714.467913,36,SC/A-23:176,15,TREEVIEW CRT  STONEY CREEK,L8J 3R7,2023/06/28 04:00:00+00,Variance Granted,2023/08/10 04:00:00+00,No,,,,,
598560.114095325,4792828.07035192,37,HM/A-23:177,677,BEACH BLVD  HAMILTON,L8H 6Y5,2023/06/29 04:00:00+00,Variance Granted,2023/08/10 04:00:00+00,No,,,,,
593342.319207451,4774438.64039991,38,GL/A-23:178,5116,CHIPPEWA RD  GLANBROOK,L0R 1W0,2023/06/29 04:00:00+00,Variance Granted,2023/08/10 04:00:00+00,No,,,,,
590827.735126264,4789108.66449019,39,HM/A-23:180,16,BRUCE ST  HAMILTON,L8P 3M6,2023/06/30 04:00:00+00,Variance Granted,2023/08/10 04:00:00+00,No,,,,,
589100.741507706,4790948.53631589,40,HM/A-23:179,46,PARKSIDE DR  HAMILTON,L8S 3Y1,2023/07/04 04:00:00+00,Variance Granted,2023/07/20 04:00:00+00,No,,,,,
566711.693584778,4804763.05493679,41,FL/A-23:181,161,CONCESSION 10  E FLAMBOROUGH,L8N 2Z7,2023/07/05 04:00:00+00,Variance Granted,2023/08/10 04:00:00+00,No,,,,,
580181.375338045,4781128.49186596,42,AN/A-23:182,795,BOOK RD W ANCASTER,L9G 3L1,2023/07/06 04:00:00+00,Variance Granted,2023/08/10 04:00:00+00,No,,,,,
582537.869221715,4784425.38983925,43,AN/A-23:183,341,FIDDLERS GREEN RD  ANCASTER,L9G 1W9,2023/07/07 04:00:00+00,Variance Granted,2023/08/10 04:00:00+00,No,,,,,
592125.691120962,4791752.99770126,44,HM/A-23:184,512,BAY ST N HAMILTON,L8L 1N6,2023/07/11 04:00:00+00,,,,,,,,
585520.497175315,4790282.5498075,45,DN/A-23:185,13,SOUTH ST W DUNDAS,L9H 4C3,2023/07/11 04:00:00+00,Variance Granted,2023/08/10 04:00:00+00,No,,,,,
588034.9304023,4789589.84511487,46,HM/A-23:187,267,HADDON AVE S HAMILTON,L8S 1X9,2023/07/12 04:00:00+00,,,,,,,,
606222.959155653,4787352.52944414,47,SC/A-23:186,711,NORTH SERVICE RD  STONEY CREEK,L8E 4Z5,2023/07/12 04:00:00+00,Variance Granted,2023/08/24 04:00:00+00,No,,,,,
588956.913599471,4790488.71358874,48,HM/A-23:188,60,SOUTH OVAL  HAMILTON,L8S 1P8,2023/07/13 04:00:00+00,Variance Granted,2023/08/24 04:00:00+00,No,,,,,
601619.265403059,4783294.41539414,49,SC/A-23:189,177,GREEN MOUNTAIN RD E STONEY CREE,L8J 2Z4,2023/07/14 04:00:00+00,Variance Granted,2023/08/24 04:00:00+00,No,,,,,
579454.092856531,4798236.89557747,50,FL/A-23:190,957,BROCK RD  FLAMBOROUGH,L9H 5E4,2023/07/14 04:00:00+00,Variance Granted,2023/08/24 04:00:00+00,No,,,,,
590387.327878224,4790180.70559388,51,HM/A-23:191,405,MAIN ST W HAMILTON,L8P 1K5,2023/07/17 04:00:00+00,Variance Granted,2023/08/24 04:00:00+00,No,,,,,
592250.675394066,4791702.13573193,52,HM/A-23:192,25,BURLINGTON ST W HAMILTON,L8L 1G5,2023/07/17 04:00:00+00,Variance Granted,2023/08/24 04:00:00+00,No,,,,,
562026.610931513,4795405.53118051,53,FL/A-23:193,939,6TH CON RD W FLAMBOROUGH,L0R 1V0,2023/07/17 04:00:00+00,Variance Granted,2023/08/24 04:00:00+00,No,,,,,
586722.318638042,4785478.9001681,54,AN/A-23:194,143,WOODHOUSE ST  ANCASTER,L9K 0H3,2023/07/18 04:00:00+00,Variance Granted,2023/08/24 04:00:00+00,No,,,,,
596130.209605717,4789196.29910652,55,HM/A-23:195,119,CAMPBELL AVE  HAMILTON,L8H 2G1,2023/07/19 04:00:00+00,Variance Granted,2023/08/24 04:00:00+00,No,,,,,
